Year    IndustryIndustryIndustryUnits   VariableVariableVariableValue   Industry_code_ANZSIC06
    2017Level 1    99999All induDollars H01     Total inFinancia  644159ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
    2017Level 1    99999All induDollars H04     Sales, gFinancia  567080ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
    2017Level 1    99999All induDollars H05     InterestFinancia   59317ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
    2017Level 1    99999All induDollars H07     Non-operFinancia   17762ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
    2017Level 1    99999All induDollars H08     Total exFinancia  560665ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
    2017Level 1    99999All induDollars H09     InterestFinancia   33474ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
    2017Level 1    99999All induDollars H10     IndirectFinancia    6890ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
    2017Level 1    99999All induDollars H11     DepreciaFinancia   18730ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
    2017Level 1    99999All induDollars H12     SalariesFinancia   99874ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
    2017Level 1    99999All induDollars H13     RedundanFinancia     226ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
    2017Level 1    99999All induDollars H14     SalariesFinancia    1867ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
    2017Level 1    99999All induDollars H19     PurchaseFinancia  391041ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
    2017Level 1    99999All induDollars H20     Non-operFinancia    8789ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
    2017Level 1    99999All induDollars H21     Opening Financia   56188ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
